,filename,width,height,class,xmin,ymin,xmax,ymax
0,frame0.jpg,800,600,label_0,413,137,453,388
1,frame0.jpg,800,600,label_1,470,236,574,391
2,frame0.jpg,800,600,label_2,509,166,615,395
3,frame0.jpg,800,600,label_3,432,431,650,504
4,frame0.jpg,800,600,label_3,490,497,709,575
5,frame1.jpg,800,600,label_0,413,137,454,388
6,frame1.jpg,800,600,label_1,471,234,575,389
7,frame1.jpg,800,600,label_2,511,164,617,393
8,frame1.jpg,800,600,label_3,434,429,652,502
9,frame1.jpg,800,600,label_3,492,495,711,573
10,frame10.jpg,800,600,label_0,420,132,460,383
11,frame10.jpg,800,600,label_1,483,216,586,371
12,frame10.jpg,800,600,label_2,528,144,634,374
13,frame10.jpg,800,600,label_3,449,410,668,483
14,frame10.jpg,800,600,label_3,505,477,728,556
15,frame100.jpg,800,600,label_0,282,142,333,456
16,frame100.jpg,800,600,label_1,342,255,464,455
17,frame100.jpg,800,600,label_2,398,153,525,454
18,frame100.jpg,800,600,label_3,316,531,572,600
19,frame1000.jpg,800,600,label_3,377,336,548,384
20,frame1000.jpg,800,600,label_2,420,123,491,279
21,frame1000.jpg,800,600,label_0,332,98,363,265
22,frame1000.jpg,800,600,label_1,370,167,443,276
23,frame1000.jpg,800,600,label_3,341,288,511,334
24,frame1000.jpg,800,600,label_5,359,377,568,415
25,frame1000.jpg,800,600,label_4,257,341,336,509
26,frame1000.jpg,800,600,label_6,151,343,244,537
27,frame10000.jpg,800,600,label_6,514,101,666,429
28,frame10001.jpg,800,600,label_6,515,101,667,429
29,frame10002.jpg,800,600,label_6,516,101,669,429
30,frame10003.jpg,800,600,label_6,517,101,670,429
31,frame10004.jpg,800,600,label_6,519,101,671,429
32,frame10005.jpg,800,600,label_6,520,102,672,430
33,frame10006.jpg,800,600,label_6,518,102,672,430
34,frame10007.jpg,800,600,label_6,517,102,671,431
35,frame10008.jpg,800,600,label_6,516,102,671,431
36,frame10009.jpg,800,600,label_6,515,102,670,432
37,frame1001.jpg,800,600,label_3,378,341,549,389
38,frame1001.jpg,800,600,label_2,420,122,492,279
39,frame1001.jpg,800,600,label_0,332,98,363,265
40,frame1001.jpg,800,600,label_1,370,166,442,276
41,frame1001.jpg,800,600,label_3,339,291,510,337
42,frame1001.jpg,800,600,label_5,358,382,568,420
43,frame1001.jpg,800,600,label_4,256,347,334,516
44,frame1001.jpg,800,600,label_6,151,343,244,537
45,frame10010.jpg,800,600,label_6,512,102,669,433
46,frame10011.jpg,800,600,label_6,511,102,669,434
47,frame10012.jpg,800,600,label_6,510,102,668,434
48,frame10013.jpg,800,600,label_6,506,102,667,436
49,frame10014.jpg,800,600,label_6,505,102,667,436
50,frame10015.jpg,800,600,label_6,503,102,666,437
51,frame10016.jpg,800,600,label_6,502,103,666,438
52,frame10017.jpg,800,600,label_6,501,103,665,438
53,frame10018.jpg,800,600,label_6,500,103,665,439
54,frame10019.jpg,800,600,label_6,498,103,664,439
55,frame1002.jpg,800,600,label_3,378,344,549,392
56,frame1002.jpg,800,600,label_2,420,122,492,279
57,frame1002.jpg,800,600,label_0,331,97,363,265
58,frame1002.jpg,800,600,label_1,370,166,442,276
59,frame1002.jpg,800,600,label_3,339,293,509,338
60,frame1002.jpg,800,600,label_5,358,384,568,423
61,frame1002.jpg,800,600,label_4,255,350,334,520
62,frame1002.jpg,800,600,label_6,151,343,243,537
63,frame10020.jpg,800,600,label_6,497,103,664,440
64,frame10021.jpg,800,600,label_6,496,103,664,440
65,frame10022.jpg,800,600,label_6,495,103,663,441
66,frame10023.jpg,800,600,label_6,491,102,660,440
67,frame10024.jpg,800,600,label_6,487,100,658,439
68,frame10025.jpg,800,600,label_6,484,99,655,438
69,frame10026.jpg,800,600,label_6,477,96,649,436
70,frame10027.jpg,800,600,label_6,473,94,646,435
71,frame10028.jpg,800,600,label_6,469,93,644,434
72,frame10029.jpg,800,600,label_6,466,91,641,433
73,frame1003.jpg,800,600,label_3,378,347,550,395
74,frame1003.jpg,800,600,label_2,420,122,492,279
75,frame1003.jpg,800,600,label_0,331,97,363,265
76,frame1003.jpg,800,600,label_1,370,166,442,276
77,frame1003.jpg,800,600,label_3,338,294,509,340
78,frame1003.jpg,800,600,label_5,358,387,568,425
79,frame1003.jpg,800,600,label_4,254,353,333,524
80,frame1003.jpg,800,600,label_6,151,343,243,537
81,frame10030.jpg,800,600,label_6,462,90,638,432
82,frame10031.jpg,800,600,label_6,459,88,635,431
83,frame10032.jpg,800,600,label_6,456,89,633,432
84,frame10033.jpg,800,600,label_6,454,90,630,433
85,frame10034.jpg,800,600,label_6,451,91,628,434
86,frame10035.jpg,800,600,label_6,449,92,626,435
87,frame10036.jpg,800,600,label_6,446,93,623,436
88,frame10037.jpg,800,600,label_6,444,94,621,437
89,frame10038.jpg,800,600,label_6,442,95,618,438
90,frame10039.jpg,800,600,label_6,439,97,616,439
91,frame1004.jpg,800,600,label_3,379,350,550,398
92,frame1004.jpg,800,600,label_2,420,122,492,279
93,frame1004.jpg,800,600,label_0,331,97,363,265
94,frame1004.jpg,800,600,label_1,370,166,442,276
95,frame1004.jpg,800,600,label_3,337,296,508,342
96,frame1004.jpg,800,600,label_5,357,389,568,427
97,frame1004.jpg,800,600,label_4,254,356,332,527
98,frame1004.jpg,800,600,label_6,150,343,243,537
99,frame10040.jpg,800,600,label_6,437,98,613,440
100,frame10041.jpg,800,600,label_0,0,337,45,600
101,frame10041.jpg,800,600,label_6,434,99,611,441
102,frame10042.jpg,800,600,label_0,18,332,63,599
103,frame10042.jpg,800,600,label_6,430,102,610,444
104,frame10043.jpg,800,600,label_0,54,322,99,599
105,frame10043.jpg,800,600,label_2,0,325,70,600
106,frame10043.jpg,800,600,label_6,421,107,608,450
107,frame10044.jpg,800,600,label_0,72,316,118,598
108,frame10044.jpg,800,600,label_2,13,319,90,596
109,frame10044.jpg,800,600,label_6,417,110,606,452
110,frame10045.jpg,800,600,label_0,90,311,136,598
111,frame10045.jpg,800,600,label_2,27,313,109,592
112,frame10045.jpg,800,600,label_6,413,113,605,455
113,frame10046.jpg,800,600,label_0,109,306,154,598
114,frame10046.jpg,800,600,label_2,40,307,128,588
115,frame10046.jpg,800,600,label_6,409,116,604,458
116,frame10047.jpg,800,600,label_0,127,301,172,598
117,frame10047.jpg,800,600,label_2,54,301,147,584
118,frame10047.jpg,800,600,label_6,403,121,601,462
119,frame10048.jpg,800,600,label_0,145,295,190,597
120,frame10048.jpg,800,600,label_2,67,295,167,580
121,frame10048.jpg,800,600,label_6,397,127,598,466
122,frame10049.jpg,800,600,label_0,163,290,208,597
123,frame10049.jpg,800,600,label_2,81,288,186,576
124,frame10049.jpg,800,600,label_6,392,132,594,470
125,frame1005.jpg,800,600,label_3,379,352,551,401
126,frame1005.jpg,800,600,label_2,420,122,493,279
127,frame1005.jpg,800,600,label_0,331,97,362,265
128,frame1005.jpg,800,600,label_1,370,166,442,276
129,frame1005.jpg,800,600,label_3,336,298,507,343
130,frame1005.jpg,800,600,label_5,357,392,568,430
131,frame1005.jpg,800,600,label_4,253,359,332,531
132,frame1005.jpg,800,600,label_6,151,349,243,543
133,frame10050.jpg,800,600,label_0,181,285,227,597
134,frame10050.jpg,800,600,label_2,100,287,206,574
135,frame10050.jpg,800,600,label_6,386,137,591,474
136,frame10051.jpg,800,600,label_0,199,280,245,597
137,frame10051.jpg,800,600,label_2,119,285,227,573
138,frame10051.jpg,800,600,label_6,380,142,588,478
139,frame10052.jpg,800,600,label_0,238,277,288,595
140,frame10052.jpg,800,600,label_2,157,281,268,569
141,frame10052.jpg,800,600,label_6,369,152,581,486
142,frame10053.jpg,800,600,label_0,257,276,310,594
143,frame10053.jpg,800,600,label_2,177,279,289,568
144,frame10053.jpg,800,600,label_6,363,157,578,490
145,frame10054.jpg,800,600,label_0,276,274,332,593
146,frame10054.jpg,800,600,label_2,196,278,309,566
147,frame10054.jpg,800,600,label_6,357,162,574,494
148,frame10055.jpg,800,600,label_0,333,270,397,590
149,frame10055.jpg,800,600,label_2,253,272,371,561
150,frame10055.jpg,800,600,label_6,340,178,564,506
151,frame10056.jpg,800,600,label_0,353,269,419,589
152,frame10056.jpg,800,600,label_2,273,271,391,560
153,frame10056.jpg,800,600,label_6,334,183,561,510
154,frame10057.jpg,800,600,label_0,371,273,439,591
155,frame10057.jpg,800,600,label_2,290,273,409,562
156,frame10057.jpg,800,600,label_6,330,186,556,508
157,frame10058.jpg,800,600,label_0,389,276,460,593
158,frame10058.jpg,800,600,label_2,307,275,426,564
159,frame10058.jpg,800,600,label_3,0,410,207,496
160,frame10058.jpg,800,600,label_6,326,189,551,506
161,frame10059.jpg,800,600,label_0,408,280,480,595
162,frame10059.jpg,800,600,label_2,325,277,444,566
163,frame10059.jpg,800,600,label_3,9,412,217,498
164,frame10059.jpg,800,600,label_6,322,192,546,504
165,frame1006.jpg,800,600,label_3,379,355,551,403
166,frame1006.jpg,800,600,label_2,420,121,493,279
167,frame1006.jpg,800,600,label_0,331,97,362,265
168,frame1006.jpg,800,600,label_1,370,166,442,276
169,frame1006.jpg,800,600,label_3,335,299,507,345
170,frame1006.jpg,800,600,label_5,357,394,568,432
171,frame1006.jpg,800,600,label_4,252,362,331,535
172,frame1006.jpg,800,600,label_6,151,354,244,548
173,frame10060.jpg,800,600,label_0,426,283,501,597
174,frame10060.jpg,800,600,label_2,342,279,461,568
175,frame10060.jpg,800,600,label_3,19,414,226,500
176,frame10060.jpg,800,600,label_6,317,195,541,502
177,frame10061.jpg,800,600,label_0,435,287,521,600
178,frame10061.jpg,800,600,label_2,359,281,492,570
179,frame10061.jpg,800,600,label_3,28,416,236,502
180,frame10061.jpg,800,600,label_3,36,395,247,476
181,frame10061.jpg,800,600,label_6,313,198,537,501
182,frame10062.jpg,800,600,label_0,457,293,539,589
183,frame10062.jpg,800,600,label_2,381,285,511,557
184,frame10062.jpg,800,600,label_3,44,416,253,503
185,frame10062.jpg,800,600,label_3,53,397,264,479
186,frame10062.jpg,800,600,label_6,312,207,538,505
187,frame10063.jpg,800,600,label_0,501,304,576,569
188,frame10063.jpg,800,600,label_2,424,294,548,531
189,frame10063.jpg,800,600,label_3,74,418,288,506
190,frame10063.jpg,800,600,label_3,86,400,297,485
191,frame10063.jpg,800,600,label_6,310,226,540,514
192,frame10064.jpg,800,600,label_0,523,309,594,559
193,frame10064.jpg,800,600,label_2,446,298,567,519
194,frame10064.jpg,800,600,label_3,90,418,305,508
195,frame10064.jpg,800,600,label_3,103,402,314,488
196,frame10064.jpg,800,600,label_6,309,235,541,518
197,frame10065.jpg,800,600,label_0,545,315,612,549
198,frame10065.jpg,800,600,label_2,467,302,585,506
199,frame10065.jpg,800,600,label_3,105,419,323,510
200,frame10065.jpg,800,600,label_3,120,404,331,490
201,frame10065.jpg,800,600,label_6,308,245,542,522
202,frame10066.jpg,800,600,label_0,567,320,630,539
203,frame10066.jpg,800,600,label_2,489,307,604,493
204,frame10066.jpg,800,600,label_3,120,419,340,511
205,frame10066.jpg,800,600,label_3,137,406,348,493
206,frame10066.jpg,800,600,label_6,307,254,543,526
207,frame10067.jpg,800,600,label_0,589,326,648,529
208,frame10067.jpg,800,600,label_2,510,311,623,480
209,frame10067.jpg,800,600,label_3,135,420,358,513
210,frame10067.jpg,800,600,label_3,153,408,364,496
211,frame10067.jpg,800,600,label_6,305,263,544,531
212,frame10068.jpg,800,600,label_0,611,332,666,519
213,frame10068.jpg,800,600,label_2,532,315,641,467
214,frame10068.jpg,800,600,label_3,151,421,375,515
215,frame10068.jpg,800,600,label_3,170,409,381,499
216,frame10068.jpg,800,600,label_6,304,273,545,535
217,frame10069.jpg,800,600,label_0,633,337,684,509
218,frame10069.jpg,800,600,label_2,553,319,660,454
219,frame10069.jpg,800,600,label_3,166,421,392,516
220,frame10069.jpg,800,600,label_3,187,411,398,502
221,frame10069.jpg,800,600,label_6,303,282,546,539
222,frame1007.jpg,800,600,label_3,380,358,551,406
223,frame1007.jpg,800,600,label_2,419,121,494,282
224,frame1007.jpg,800,600,label_0,330,98,362,268
225,frame1007.jpg,800,600,label_1,370,167,443,279
226,frame1007.jpg,800,600,label_3,336,302,508,349
227,frame1007.jpg,800,600,label_5,358,399,569,437
228,frame1007.jpg,800,600,label_4,253,366,332,541
229,frame1007.jpg,800,600,label_6,151,359,244,553
230,frame10070.jpg,800,600,label_0,641,341,694,518
231,frame10070.jpg,800,600,label_2,561,321,670,466
232,frame10070.jpg,800,600,label_3,173,421,400,518
233,frame10070.jpg,800,600,label_3,193,411,405,504
234,frame10070.jpg,800,600,label_6,297,304,544,545
235,frame10071.jpg,800,600,label_0,648,344,704,527
236,frame10071.jpg,800,600,label_2,569,322,679,478
237,frame10071.jpg,800,600,label_3,180,421,407,520
238,frame10071.jpg,800,600,label_3,199,411,412,506
239,frame10071.jpg,800,600,label_6,290,326,542,551
240,frame10072.jpg,800,600,label_0,663,351,723,545
241,frame10072.jpg,800,600,label_2,585,325,699,501
242,frame10072.jpg,800,600,label_3,193,421,421,525
243,frame10072.jpg,800,600,label_3,211,410,426,510
244,frame10072.jpg,800,600,label_6,277,369,538,563
245,frame10073.jpg,800,600,label_0,670,354,733,554
246,frame10073.jpg,800,600,label_2,593,327,709,513
247,frame10073.jpg,800,600,label_3,200,421,428,527
248,frame10073.jpg,800,600,label_3,217,410,433,513
249,frame10073.jpg,800,600,label_6,270,391,536,569
250,frame10074.jpg,800,600,label_0,677,358,742,563
251,frame10074.jpg,800,600,label_2,601,328,719,525
252,frame10074.jpg,800,600,label_3,207,421,436,529
253,frame10074.jpg,800,600,label_3,223,409,441,515
254,frame10074.jpg,800,600,label_6,263,413,534,575
255,frame10075.jpg,800,600,label_0,685,361,752,572
256,frame10075.jpg,800,600,label_2,609,330,728,536
257,frame10075.jpg,800,600,label_3,213,420,443,531
258,frame10075.jpg,800,600,label_3,229,409,448,517
259,frame10075.jpg,800,600,label_6,257,434,532,581
260,frame10076.jpg,800,600,label_0,692,364,762,581
261,frame10076.jpg,800,600,label_2,617,331,738,548
262,frame10076.jpg,800,600,label_3,220,420,450,533
263,frame10076.jpg,800,600,label_3,235,409,455,519
264,frame10076.jpg,800,600,label_6,250,456,530,587
265,frame10077.jpg,800,600,label_0,699,368,771,590
266,frame10077.jpg,800,600,label_2,624,333,748,560
267,frame10077.jpg,800,600,label_3,227,420,457,535
268,frame10077.jpg,800,600,label_3,241,409,462,522
269,frame10077.jpg,800,600,label_6,243,478,528,593
270,frame10078.jpg,800,600,label_0,707,371,781,600
271,frame10078.jpg,800,600,label_2,632,334,758,571
272,frame10078.jpg,800,600,label_3,234,420,465,537
273,frame10078.jpg,800,600,label_3,247,408,469,524
274,frame10078.jpg,800,600,label_6,237,500,526,600
275,frame10079.jpg,800,600,label_0,708,371,783,600
276,frame10079.jpg,800,600,label_2,634,333,759,574
277,frame10079.jpg,800,600,label_3,235,418,466,535
278,frame10079.jpg,800,600,label_3,248,406,470,523
279,frame10079.jpg,800,600,label_6,239,502,529,599
280,frame1008.jpg,800,600,label_3,380,361,552,409
